PrestDate;Duty_ID;Duty_Name;Sequence;Prest_type;Date;Time_of_Day;Hours_on_Shift;HRI;R_C;R_ToD;R_HoS
2/07/2022;1351398974;4507;1;L;2/07/2022;14;1;37;1.06;0.60;0.76
2/07/2022;1351398974;4507;1;L;2/07/2022;15;2;52;1.06;0.70;0.91
2/07/2022;1351398974;4507;1;L;2/07/2022;16;3;65;1.06;0.81;1.00
2/07/2022;1351398974;4507;1;L;2/07/2022;17;4;78;1.06;0.93;1.03
2/07/2022;1351398974;4507;1;L;2/07/2022;18;5;90;1.06;1.07;1.04
2/07/2022;1351398974;4507;1;L;2/07/2022;19;6;101;1.06;1.19;1.04
2/07/2022;1351398974;4507;1;L;2/07/2022;20;7;113;1.06;1.30;1.07
2/07/2022;1351398974;4507;1;L;2/07/2022;21;8;130;1.06;1.40;1.15
3/07/2022;1351398987;4807;2;L;3/07/2022;14;1;38;1.08;0.60;0.76
3/07/2022;1351398987;4807;2;L;3/07/2022;15;2;53;1.08;0.70;0.91
3/07/2022;1351398987;4807;2;L;3/07/2022;16;3;67;1.08;0.81;1.00
3/07/2022;1351398987;4807;2;L;3/07/2022;17;4;80;1.08;0.93;1.03
3/07/2022;1351398987;4807;2;L;3/07/2022;18;5;92;1.08;1.07;1.04
3/07/2022;1351398987;4807;2;L;3/07/2022;19;6;103;1.08;1.19;1.04
3/07/2022;1351398987;4807;2;L;3/07/2022;20;7;116;1.08;1.30;1.07
3/07/2022;1351398987;4807;2;L;3/07/2022;21;8;133;1.08;1.40;1.15
4/07/2022;1351398999;4209;3;L;4/07/2022;14;1;39;1.11;0.60;0.76
4/07/2022;1351398999;4209;3;L;4/07/2022;15;2;55;1.11;0.70;0.91
4/07/2022;1351398999;4209;3;L;4/07/2022;16;3;69;1.11;0.81;1.00
4/07/2022;1351398999;4209;3;L;4/07/2022;17;4;82;1.11;0.93;1.03
4/07/2022;1351398999;4209;3;L;4/07/2022;18;5;95;1.11;1.07;1.04
4/07/2022;1351398999;4209;3;L;4/07/2022;19;6;106;1.11;1.19;1.04
4/07/2022;1351398999;4209;3;L;4/07/2022;20;7;119;1.11;1.30;1.07
4/07/2022;1351398999;4209;3;L;4/07/2022;21;8;137;1.11;1.40;1.15
5/07/2022;1351399015;4209;4;L;5/07/2022;14;1;40;1.14;0.60;0.76
5/07/2022;1351399015;4209;4;L;5/07/2022;15;2;56;1.14;0.70;0.91
5/07/2022;1351399015;4209;4;L;5/07/2022;16;3;71;1.14;0.81;1.00
5/07/2022;1351399015;4209;4;L;5/07/2022;17;4;84;1.14;0.93;1.03
5/07/2022;1351399015;4209;4;L;5/07/2022;18;5;97;1.14;1.07;1.04
5/07/2022;1351399015;4209;4;L;5/07/2022;19;6;109;1.14;1.19;1.04
5/07/2022;1351399015;4209;4;L;5/07/2022;20;7;122;1.14;1.30;1.07
5/07/2022;1351399015;4209;4;L;5/07/2022;21;8;140;1.14;1.40;1.15
7/07/2022;1351398773;4209;1;L;7/07/2022;14;1;39;1.11;0.60;0.76
7/07/2022;1351398773;4209;1;L;7/07/2022;15;2;55;1.11;0.70;0.91
7/07/2022;1351398773;4209;1;L;7/07/2022;16;3;69;1.11;0.81;1.00
7/07/2022;1351398773;4209;1;L;7/07/2022;17;4;82;1.11;0.93;1.03
7/07/2022;1351398773;4209;1;L;7/07/2022;18;5;95;1.11;1.07;1.04
7/07/2022;1351398773;4209;1;L;7/07/2022;19;6;106;1.11;1.19;1.04
7/07/2022;1351398773;4209;1;L;7/07/2022;20;7;119;1.11;1.30;1.07
7/07/2022;1351398773;4209;1;L;7/07/2022;21;8;137;1.11;1.40;1.15
8/07/2022;1351398774;4209;2;L;8/07/2022;14;1;40;1.14;0.60;0.76
8/07/2022;1351398774;4209;2;L;8/07/2022;15;2;56;1.14;0.70;0.91
8/07/2022;1351398774;4209;2;L;8/07/2022;16;3;70;1.14;0.81;1.00
8/07/2022;1351398774;4209;2;L;8/07/2022;17;4;84;1.14;0.93;1.03
8/07/2022;1351398774;4209;2;L;8/07/2022;18;5;97;1.14;1.07;1.04
